id,name,description,postcode,date_availability,expected_price,selling_price,bedrooms,living_area,facades,garage,garden,garden_area,garden_orientation,active,state
100,Housing Number 100,"A house. Here's a random fraction: 0,815281954423783",165,17/07/25,2660000,0,2,294,1,True,True,45,west,True,offer_received
101,Housing Number 101,"A house. Here's a random fraction: 0,722300355198869",340,06/09/25,2410000,1,2,472,1,True,True,70,south,True,cancelled
102,Housing Number 102,"A house. Here's a random fraction: 0,676182648737866",480,09/11/25,730000,2,1,143,0,True,True,80,east,True,cancelled
103,Housing Number 103,"A house. Here's a random fraction: 0,115966687462949",165,30/08/25,1140000,3,1,191,4,True,True,60,south,True,offer_received
104,Housing Number 104,"A house. Here's a random fraction: 0,430167539263958",250,12/11/25,3040000,4,2,389,1,True,True,95,east,True,cancelled
105,Housing Number 105,"A house. Here's a random fraction: 0,981125565741841",340,05/07/25,520000,5,1,62,3,True,True,125,east,True,sold
106,Housing Number 106,"A house. Here's a random fraction: 0,413913080653128",250,11/08/25,4330000,6,2,602,5,True,True,30,south,True,new
107,Housing Number 107,"A house. Here's a random fraction: 0,824960780935565",340,06/09/25,4850000,7,5,935,1,True,True,85,east,True,offer_accepted
108,Housing Number 108,"A house. Here's a random fraction: 0,543190475198077",250,20/07/25,790000,8,1,127,5,True,True,25,north,True,sold
109,Housing Number 109,"A house. Here's a random fraction: 0,514343561148375",340,04/06/25,1470000,9,1,239,3,True,True,10,north,True,offer_received
110,Housing Number 110,"A house. Here's a random fraction: 0,410262764137097",250,03/07/25,2830000,10,2,377,1,True,True,80,east,True,offer_received
111,Housing Number 111,"A house. Here's a random fraction: 0,705798628122803",480,30/10/25,4190000,11,3,758,4,True,True,60,south,True,sold
112,Housing Number 112,"A house. Here's a random fraction: 0,876356703834995",165,22/08/25,4630000,12,3,874,5,True,True,110,west,True,sold
113,Housing Number 113,"A house. Here's a random fraction: 0,584271411959879",480,05/11/25,1950000,13,1,286,2,True,True,115,north,True,cancelled
114,Housing Number 114,"A house. Here's a random fraction: 0,778461109515953",250,11/09/25,3470000,14,3,408,1,True,True,35,west,True,sold
115,Housing Number 115,"A house. Here's a random fraction: 0,551656433622825",340,29/09/25,4570000,15,4,596,4,True,True,100,north,True,sold
116,Housing Number 116,"A house. Here's a random fraction: 0,752120805654792",340,31/07/25,2990000,16,2,337,5,True,True,65,east,True,offer_received
117,Housing Number 117,"A house. Here's a random fraction: 0,714229813121499",480,17/10/25,1540000,17,1,275,2,True,True,125,south,True,cancelled
118,Housing Number 118,"A house. Here's a random fraction: 0,322397722980969",340,08/10/25,2460000,18,1,457,5,True,True,120,east,True,cancelled
119,Housing Number 119,"A house. Here's a random fraction: 0,548085466173882",480,17/10/25,4550000,19,2,460,4,True,True,10,north,True,cancelled
120,Housing Number 120,"A house. Here's a random fraction: 0,697651009780612",165,09/07/25,960000,20,1,138,5,True,True,65,west,True,sold
121,Housing Number 121,"A house. Here's a random fraction: 0,950729491767789",250,23/07/25,1190000,21,1,161,2,True,True,125,west,True,offer_received
122,Housing Number 122,"A house. Here's a random fraction: 0,364282012506463",480,27/08/25,1550000,22,1,222,5,True,True,10,south,True,cancelled
123,Housing Number 123,"A house. Here's a random fraction: 0,47192637218666",340,05/08/25,2020000,23,1,303,5,True,True,5,east,True,new
124,Housing Number 124,"A house. Here's a random fraction: 0,715546511699011",250,21/08/25,3160000,24,2,624,5,True,True,125,north,True,cancelled
125,Housing Number 125,"A house. Here's a random fraction: 0,936023294267601",165,23/08/25,4620000,25,2,577,1,True,True,55,north,True,cancelled
126,Housing Number 126,"A house. Here's a random fraction: 0,97631587736971",480,01/11/25,1470000,26,1,291,2,True,True,65,north,True,cancelled
127,Housing Number 127,"A house. Here's a random fraction: 0,230313558489577",340,23/10/25,1090000,27,1,188,1,True,True,75,west,True,sold
128,Housing Number 128,"A house. Here's a random fraction: 0,478551968768493",340,22/11/25,1740000,28,1,337,0,True,True,80,east,True,sold
129,Housing Number 129,"A house. Here's a random fraction: 0,149115972540373",340,27/05/25,2880000,29,2,432,2,True,True,65,east,True,sold
130,Housing Number 130,"A house. Here's a random fraction: 0,0319661389427621",340,21/09/25,1730000,30,1,344,2,True,True,35,north,True,offer_received
131,Housing Number 131,"A house. Here's a random fraction: 0,785450737836708",480,25/08/25,4700000,31,3,574,2,True,True,95,south,True,cancelled
132,Housing Number 132,"A house. Here's a random fraction: 0,734029539083888",165,14/09/25,2650000,32,2,272,3,True,True,125,west,True,cancelled
133,Housing Number 133,"A house. Here's a random fraction: 0,426320380498738",340,24/09/25,2010000,33,1,318,4,True,True,85,north,True,sold
134,Housing Number 134,"A house. Here's a random fraction: 0,121680695720657",480,09/06/25,4970000,34,2,861,3,True,True,85,west,True,sold
135,Housing Number 135,"A house. Here's a random fraction: 0,51216014691572",480,10/10/25,2850000,35,3,564,3,True,True,55,east,True,offer_accepted
136,Housing Number 136,"A house. Here's a random fraction: 0,732108591414853",480,16/06/25,3750000,36,3,738,4,True,True,85,north,True,sold
137,Housing Number 137,"A house. Here's a random fraction: 0,645705811602285",340,29/07/25,3020000,37,4,595,4,True,True,20,south,True,new
138,Housing Number 138,"A house. Here's a random fraction: 0,201360443866884",165,26/06/25,3200000,38,2,567,3,True,True,55,west,True,sold
139,Housing Number 139,"A house. Here's a random fraction: 0,0205191692388002",480,18/06/25,1800000,39,1,355,1,True,True,105,south,True,offer_received
140,Housing Number 140,"A house. Here's a random fraction: 0,629002935351414",340,12/11/25,1430000,40,1,235,3,True,True,120,west,True,sold
141,Housing Number 141,"A house. Here's a random fraction: 0,376130821637322",250,12/10/25,4370000,41,2,601,2,True,True,30,south,True,offer_accepted
142,Housing Number 142,"A house. Here's a random fraction: 0,183858290476075",480,14/07/25,2880000,42,2,474,3,True,True,20,west,True,sold
143,Housing Number 143,"A house. Here's a random fraction: 0,131369568319369",480,14/07/25,4850000,43,2,763,0,True,True,10,east,True,sold
144,Housing Number 144,"A house. Here's a random fraction: 0,789165072804467",480,11/07/25,2150000,44,3,414,0,True,True,15,east,True,new
145,Housing Number 145,"A house. Here's a random fraction: 0,221612486205532",165,29/06/25,330000,45,1,52,2,True,True,95,east,True,cancelled
146,Housing Number 146,"A house. Here's a random fraction: 0,353116650258784",340,31/10/25,3220000,46,2,375,4,True,True,5,south,True,cancelled
147,Housing Number 147,"A house. Here's a random fraction: 0,332498912701391",250,04/09/25,2810000,47,3,480,4,True,True,25,south,True,offer_accepted
148,Housing Number 148,"A house. Here's a random fraction: 0,913003950413246",250,11/06/25,2450000,48,2,407,0,True,True,75,north,True,offer_accepted
149,Housing Number 149,"A house. Here's a random fraction: 0,280614005113122",480,06/06/25,700000,49,1,130,2,True,True,35,south,True,cancelled
150,Housing Number 150,"A house. Here's a random fraction: 0,599153874148242",165,30/07/25,380000,50,1,66,4,True,True,105,east,True,sold
151,Housing Number 151,"A house. Here's a random fraction: 0,432607548991339",480,09/08/25,2620000,51,2,423,0,True,True,80,south,True,new
152,Housing Number 152,"A house. Here's a random fraction: 0,0873921851773862",340,24/06/25,1990000,52,1,319,4,True,True,50,west,True,new
153,Housing Number 153,"A house. Here's a random fraction: 0,448816014415751",340,03/11/25,2090000,53,1,277,2,True,True,55,south,True,sold
154,Housing Number 154,"A house. Here's a random fraction: 0,814635173969645",165,11/08/25,1870000,54,1,243,5,True,True,100,east,True,sold
155,Housing Number 155,"A house. Here's a random fraction: 0,638733223633984",165,07/06/25,670000,55,1,100,2,True,True,45,north,True,sold
156,Housing Number 156,"A house. Here's a random fraction: 0,232705983537955",340,16/06/25,1270000,56,2,134,1,True,True,85,south,True,cancelled
157,Housing Number 157,"A house. Here's a random fraction: 0,599876642778987",165,26/09/25,3300000,57,2,544,0,True,True,40,east,True,offer_accepted
158,Housing Number 158,"A house. Here's a random fraction: 0,62950226238304",480,14/11/25,4090000,58,3,766,2,True,True,30,east,True,sold
159,Housing Number 159,"A house. Here's a random fraction: 0,0161523865711546",340,19/11/25,4810000,59,2,815,1,True,True,30,north,True,cancelled
160,Housing Number 160,"A house. Here's a random fraction: 0,636344199931391",340,23/10/25,1630000,60,1,225,5,True,True,80,east,True,new
161,Housing Number 161,"A house. Here's a random fraction: 0,470445807582823",250,04/07/25,1720000,61,1,340,4,True,True,125,east,True,offer_accepted
162,Housing Number 162,"A house. Here's a random fraction: 0,937208357087468",250,23/07/25,920000,62,1,94,0,True,True,5,east,True,sold
163,Housing Number 163,"A house. Here's a random fraction: 0,406519811394556",480,29/06/25,4130000,63,2,762,1,True,True,15,east,True,sold
164,Housing Number 164,"A house. Here's a random fraction: 0,530086866945704",480,27/08/25,910000,64,1,167,5,True,True,30,west,True,offer_accepted
165,Housing Number 165,"A house. Here's a random fraction: 0,342472613532106",340,07/07/25,4390000,65,3,636,0,True,True,10,north,True,offer_accepted
166,Housing Number 166,"A house. Here's a random fraction: 0,604517416122568",480,22/10/25,2670000,66,2,291,1,True,True,125,west,True,offer_received
167,Housing Number 167,"A house. Here's a random fraction: 0,497971737145307",340,15/06/25,890000,67,1,157,4,True,True,75,east,True,cancelled
168,Housing Number 168,"A house. Here's a random fraction: 0,886270491436318",480,06/11/25,4580000,68,2,585,3,True,True,10,north,True,cancelled
169,Housing Number 169,"A house. Here's a random fraction: 0,19114253137297",340,09/10/25,590000,69,1,75,4,True,True,20,north,True,cancelled
170,Housing Number 170,"A house. Here's a random fraction: 0,938850420429761",165,16/10/25,2250000,70,2,285,1,True,True,125,east,True,sold
171,Housing Number 171,"A house. Here's a random fraction: 0,824139564744109",480,16/11/25,2150000,71,2,360,3,True,True,20,east,True,sold
172,Housing Number 172,"A house. Here's a random fraction: 0,532139263912382",250,09/08/25,1760000,72,1,315,3,True,True,35,south,True,cancelled
173,Housing Number 173,"A house. Here's a random fraction: 0,1213506955391",250,22/06/25,1850000,73,2,321,2,True,True,55,east,True,offer_received
174,Housing Number 174,"A house. Here's a random fraction: 0,781414186555593",165,10/11/25,4320000,74,4,860,5,True,True,40,south,True,offer_accepted
175,Housing Number 175,"A house. Here's a random fraction: 0,249359255546584",165,06/06/25,3300000,75,3,412,2,True,True,55,west,True,offer_received
176,Housing Number 176,"A house. Here's a random fraction: 0,619263948896404",250,01/07/25,4330000,76,4,691,1,True,True,115,south,True,cancelled
177,Housing Number 177,"A house. Here's a random fraction: 0,708024935367684",165,05/08/25,910000,77,1,138,2,True,True,40,east,True,cancelled
178,Housing Number 178,"A house. Here's a random fraction: 0,945043932539263",250,02/07/25,1150000,78,1,118,5,True,True,5,west,True,offer_accepted
